City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
549,erdenet,49.0333,104.0833,10.49,41,5,3.8,clear sky,MN,2021-12-11 05:03:08
550,ilhabela,-23.7781,-45.3581,68.0,88,32,4.88,scattered clouds,BR,2021-12-11 04:59:42
551,sistranda,63.7256,8.834,37.36,76,97,16.37,overcast clouds,NO,2021-12-11 05:03:09
552,lardos,36.0942,28.0157,58.95,77,80,10.38,broken clouds,GR,2021-12-11 05:03:09
553,saint-pierre,-21.3393,55.4781,83.84,67,0,13.8,clear sky,RE,2021-12-11 05:03:09
554,leh,34.1667,77.5833,9.93,50,0,3.18,clear sky,IN,2021-12-11 05:03:10
555,puerto escondido,15.85,-97.0667,81.43,69,75,0.0,broken clouds,MX,2021-12-11 05:03:10
556,corrente,-3.7367,-43.3394,73.44,96,100,2.46,overcast clouds,BR,2021-12-11 05:03:11
557,inhambane,-23.865,35.3833,81.61,73,17,7.7,few clouds,MZ,2021-12-11 05:03:11
558,george town,5.4112,100.3354,87.73,62,20,6.91,few clouds,MY,2021-12-11 05:01:38
559,meulaboh,4.1363,96.1285,85.78,66,58,4.21,broken clouds,ID,2021-12-11 05:03:11
560,dunedin,-45.8742,170.5036,50.81,89,100,5.99,overcast clouds,NZ,2021-12-11 05:01:23
561,lodja,-3.4833,23.4333,69.91,98,82,0.63,broken clouds,CD,2021-12-11 05:03:12
562,abapo,-18.8333,-63.4667,69.19,74,97,1.88,overcast clouds,BO,2021-12-11 05:03:12
563,shintomi,32.0785,131.4723,63.41,58,57,5.01,broken clouds,JP,2021-12-11 05:03:13
564,saint-augustin,51.226,-58.6502,20.46,52,100,6.98,overcast clouds,CA,2021-12-11 05:01:14
565,de aar,-30.6497,24.0123,69.53,62,0,20.51,clear sky,ZA,2021-12-11 05:03:13
566,chernyshevskiy,63.0128,112.4714,-14.39,96,99,5.37,overcast clouds,RU,2021-12-11 05:03:14
567,dolores hidalgo,21.1561,-100.9308,50.86,25,7,3.67,clear sky,MX,2021-12-11 05:03:14
568,pailon,-17.65,-62.75,77.9,74,76,6.08,broken clouds,BO,2021-12-11 05:03:14
569,yakovlevo,50.8603,36.4478,32.25,78,100,14.29,overcast clouds,RU,2021-12-11 05:03:15
570,suruc,36.9761,38.425,39.4,69,83,4.61,broken clouds,TR,2021-12-11 05:03:15
571,koundara,12.4833,-13.3,70.09,42,99,3.87,overcast clouds,GN,2021-12-11 05:03:15
572,inirida,3.8653,-67.9239,74.39,96,100,1.68,overcast clouds,CO,2021-12-11 05:03:16
